Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Rating_InternetMovieDatabase,Rating_RottenTomatoes,Rating_Metacritic,Error,Season,Episode,seriesID
Mirrors,2015,N/A,20 Mar 2015,11 min,"Short, Drama",Neil Ely,Neil Ely,"Adam Faybrem, Liam Boyle, Sarah Byrne","In a gay bar in Manchester, the mirrors in the toilets play witness to a string of chance encounters.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOWQxYjY1N2EtZTcxZS00YzE1LThkY2YtNTI0NmI3ZjQ0NjMwXkEyXkFqcGdeQXVyNjc5ODc3Mjg@._V1_SX300.jpg,N/A,5.0,67,tt4938744,movie,N/A,N/A,N/A,N/A,True,5.0/10,,,,,,
Mirrors,2024,N/A,N/A,120 min,"Drama, Romance",Michael Brando,"Michael Brando, Alex Ochman",N/A,"A modern neo-noir exploring the themes of love and friendship in an ever stratified world where human relationships are tested in the face of isolationism, technology and individualism.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMGI2NDU4MjMtODQwYy00MGQ4LWFkNTktMTQwY2Q1MGVkM2UyXkEyXkFqcGdeQXVyMTU3MTQ4OTgw._V1_SX300.jpg,N/A,N/A,N/A,tt23468748,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Mirrors,1985,PG,16 Sep 1985,120 min,Drama,Harry Winer,James Lipton,"Tim Daly, Shanna Reed, Antony Hamilton",An aspiring Midwestern ballerina (Marguerite Hickey) struggles in New York as the only jobs she can get are as chorus performers. Her personal life is equally dismal.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2I4ZjEwMDUtY2EzNy00Y2QxLTgyMzEtNzliZTQ5YjI4NTg2XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_SX300.jpg,N/A,6.0,67,tt0089600,movie,N/A,N/A,N/A,N/A,True,6.0/10,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Vicky Cristina Barcelona,2008,PG-13,15 Aug 2008,96 min,"Comedy, Drama, Romance",Woody Allen,Woody Allen,"Rebecca Hall, Scarlett Johansson, Javier Bardem","Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.","English, Spanish","Spain, United States",Won 1 Oscar. 32 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BOGYyZTllMmUtZDFmYS00ZjJhLThhNmEtZmQwYzkzNjkyNzhlXkEyXkFqcGc@._V1_SX300.jpg,70,7.1,"275,462",tt0497465,movie,N/A,"$23,216,709",N/A,N/A,True,7.1/10,80%,70/100,,,,
Tropic Thunder,2008,R,13 Aug 2008,107 min,"Action, Comedy, War",Ben Stiller,"Justin Theroux, Ben Stiller, Etan Cohen","Ben Stiller, Jack Black, Robert Downey Jr.","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","English, Mandarin","United Kingdom, Germany, United States",Nominated for 1 Oscar. 10 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_SX300.jpg,71,7.1,"478,477",tt0942385,movie,N/A,"$110,515,313",N/A,N/A,True,7.1/10,82%,71/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Elegy,2016,N/A,N/A,20 min,"Short, Horror",C.J. Gardella,N/A,"Leanne Michelle Watson, Jason De Beer, Rhiannon Lattimer","A film, in the wilderness gothic tradition, set in a crumbling estate, where strange visions and paranoia afflict its occupants. A passage from Edith Wharton's short story 'Afterward' might serve as character description for the l...",N/A,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BNTYwZDMzMGEtNjQwZi00YTgxLTg4MjItNWU5MDBiNmIzYjFkXkEyXkFqcGdeQXVyMjQ0MzYzMzQ@._V1_SX300.jpg,N/A,N/A,N/A,tt6089876,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Elegy,2014,N/A,10 Sep 2014,16 min,"Short, Sci-Fi",Lewis Farinella,Erin Spofford,"Erin Spofford, Kaydee Greene, Luis Costa Jr.","In a post-apocalyptic world filled with blood thirsty people, one man must fight against all odds to survive.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTJiOGYyMjktNjlmZi00Yzg0LWIyZDMtNTJmYjljOWEyYzNkXkEyXkFqcGdeQXVyMjQ1NTU3Nzg@._V1_SX300.jpg,N/A,N/A,43,tt5769236,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Beer for My Horses,2008,PG-13,08 Aug 2008,86 min,"Action, Comedy, Crime",Michael Salomon,"Rodney Carrington, Toby Keith","Toby Keith, Rodney Carrington, Claire Forlani",Two best friends work together as deputies in a small town. The two defy the Sheriff and head off on an outrageous road trip to save the protagonist's girlfriend from drug lord kidnappers.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMjE0NzI3OTEwNl5BMl5BanBnXkFtZTcwNDA1OTg3MQ@@._V1_SX300.jpg,N/A,4.8,"1,969",tt1178640,movie,N/A,"$666,045",N/A,N/A,True,4.8/10,0%,,,,,
Elegy,2008,R,18 Apr 2008,112 min,"Drama, Romance",Isabel Coixet,"Nicholas Meyer, Philip Roth","Ben Kingsley, Penélope Cruz, Patricia Clarkson","Cultural critic David Kepesh finds his life, which he indicates is a state of ""emancipated manhood,"" thrown into tragic disarray by Consuela Castillo, a well-mannered student who awakens a sense of sexual possessiveness in her tea...","English, Spanish",United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTIxOTQ4OTEwN15BMl5BanBnXkFtZTcwNzI5ODc3MQ@@._V1_SX300.jpg,66,6.7,"23,406",tt0974554,movie,N/A,"$3,581,642",N/A,N/A,True,6.7/10,74%,66/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Bottle Shock,2008,PG-13,05 Sep 2008,110 min,"Comedy, Drama",Randall Miller,"Jody Savin, Randall Miller, Ross Schwartz","Chris Pine, Alan Rickman, Bill Pullman","The story of the early days of California wine making featuring the now infamous, blind Paris wine tasting of 1976 that has come to be known as ""Judgment of Paris"".","English, French, German",United States,1 win total,https://m.media-amazon.com/images/M/MV5BMTI5NjgzMzI0MV5BMl5BanBnXkFtZTcwMTI3MTc3MQ@@._V1_SX300.jpg,56,6.8,"18,751",tt0914797,movie,N/A,"$4,078,607",N/A,N/A,True,6.8/10,48%,56/100,,,,
Sixty Six,2015,N/A,07 Dec 2015,90 min,Animation,Lewis Klahr,Lewis Klahr,Andrea LeBlanc,"An anthology of 12 short films, 'Sixty Six' is filled with lush yet sinister imagery and music, heavy with melancholy and desire, memory and forgetting.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzhkYjRjYjItOTEyNS00NzM1LTlhOTEtMDYyOWJiZDAxOTFmXkEyXkFqcGc@._V1_SX300.jpg,N/A,5.4,59,tt5445900,movie,N/A,N/A,N/A,N/A,True,5.4/10,,,,,,
Sixty Six,2006,PG-13,03 Nov 2006,93 min,"Biography, Comedy, Drama",Paul Weiland,"Peter Straughan, Bridget O'Connor, Paul Weiland","Charlie Clark, Nick Shirm, Thomas Drewson",A boy's barmitzvah looks set to be a disaster when it coincides with the 1966 World Cup Final.,English,"France, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BMTAyNDY1ODk5OTleQTJeQWpwZ15BbWU3MDYwMjk3NzE@._V1_SX300.jpg,57,6.7,"3,210",tt0493450,movie,N/A,"$224,614",N/A,N/A,True,6.7/10,65%,57/100,,,,
Frozen River,1929,Passed,17 Feb 1930,61 min,"Action, Adventure, Drama",F. Harmon Weight,"John F. Fowler, Anthony Coldeway, Harry Behn","Rin Tin Tin, Davey Lee, Raymond McKee","Rinty (Rin-Tin-Tin) rescues a young boy, Billy (Davey Lee) , lost in the woods and prevents a gang of crooks from stealing a cache of gold from Hazy (Josef Swickarf) a kindly old man.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2IyMDg3NjMtYmZjMi00YjA1LTkyZGEtM2E4ZWFkZTU0MDc1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzAyNTQ1Mzk@._V1_SX300.jpg,N/A,N/A,25,tt0019908,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Frozen River,2008,R,05 Sep 2008,97 min,"Crime, Drama",Courtney Hunt,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott","A mom looks for another source of income, when her husband leaves with the money meant for the new mobile home. A nearby Indian territory stretches across the border to Canada with a drivable frozen river between. Smuggling?","English, French, Chinese, Urdu, Mohawk",United States,Nominated for 2 Oscars. 32 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BMTk2NjMwMDgzNF5BMl5BanBnXkFtZTcwMDY0NDY3MQ@@._V1_SX300.jpg,82,7.1,"26,675",tt0978759,movie,N/A,"$2,511,476",N/A,N/A,True,7.1/10,88%,82/100,,,,
Brideshead Revisited,2008,PG-13,15 Aug 2008,133 min,"Drama, Romance",Julian Jarrold,"Andrew Davies, Jeremy Brock, Evelyn Waugh","Matthew Goode, Patrick Malahide, Hayley Atwell",A poignant story of forbidden love and the loss of innocence set in England prior to World War II.,"English, Italian, Arabic, Latin, French","United Kingdom, Italy, Morocco, United States",11 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ4MTU5MjAyN15BMl5BanBnXkFtZTcwOTcxMzE3MQ@@._V1_SX300.jpg,64,6.6,"13,982",tt0412536,movie,N/A,"$6,432,256",N/A,N/A,True,6.6/10,62%,64/100,,,,
American Teen,2008,PG-13,15 Aug 2008,95 min,Documentary,Nanette Burstein,Nanette Burstein,"Hannah Bailey, Jake Tusing, Megan Krizmanich",A documentary on seniors at a high school in a small Indiana town and their various cliques.,English,United States,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTc2ODc1ODk5Nl5BMl5BanBnXkFtZTcwNjQ3Mjg3MQ@@._V1_SX300.jpg,66,6.4,"4,240",tt0486259,movie,N/A,"$942,441",N/A,N/A,True,6.4/10,69%,66/100,,,,
Step Brothers,2008,R,25 Jul 2008,98 min,Comedy,Adam McKay,"Will Ferrell, Adam McKay, John C. Reilly","Will Ferrell, John C. Reilly, Mary Steenburgen",Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,"English, Spanish",United States,3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYWNiOGZkOTgtNGMzMC00MDg5LTliM2UtN2VjMDI3N2ViOWE5XkEyXkFqcGc@._V1_SX300.jpg,51,6.9,"333,253",tt0838283,movie,N/A,"$100,468,793",N/A,N/A,True,6.9/10,54%,51/100,,,,
Man on Wire,2008,PG-13,29 Aug 2008,94 min,"Documentary, Biography, Crime",James Marsh,Philippe Petit,"Philippe Petit, Jean François Heckel, Jean-Louis Blondeau","A look at tightrope walker Philippe Petit's daring, but illegal, high-wire routine performed between New York City's World Trade Center's twin towers in 1974, what some consider, ""the artistic crime of the century"".","English, French","United Kingdom, United States",Won 1 Oscar. 46 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMTMxNTk3NDY1NV5BMl5BanBnXkFtZTcwNDk0ODg3MQ@@._V1_SX300.jpg,89,7.7,"59,935",tt1155592,movie,N/A,"$2,962,242",N/A,N/A,True,7.7/10,100%,89/100,,,,
Space Chimps,2008,G,18 Jul 2008,81 min,"Animation, Adventure, Comedy",Kirk DeMicco,"Kirk DeMicco, Robert Moreland, Jason Mayland","Andy Samberg, Stanley Tucci, Jeff Daniels",Three chimps are sent into space to explore the possibility of alien life when an unmanned space shuttle crash lands on an uncharted planet.,English,"United States, Canada, United Kingdom, Australia",1 nomination,https://m.media-amazon.com/images/M/MV5BNDU0MDY1OTQzOV5BMl5BanBnXkFtZTcwNzQ3ODI3MQ@@._V1_SX300.jpg,36,4.5,"12,776",tt0482603,movie,N/A,"$30,105,968",N/A,N/A,True,4.5/10,33%,36/100,,,,
The Legend of God's Gun,2007,R,25 Aug 2007,78 min,"Fantasy, Musical, Western",Mike Bruce,"Mike Bruce, Kirpatrick Thomas","Robert Bones, Kirpatrick Thomas, Dave Koenig","In this psychadelic western, a gun-slinging preacher, a gang of venom-drinking bandits, and a bounty hunter all meet in the circle of death for a confrontation of Biblical proportions.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjE0NjM4NzA1MF5BMl5BanBnXkFtZTcwOTkzMTU1MQ@@._V1_SX300.jpg,N/A,3.7,204,tt1073221,movie,N/A,"$243,768",N/A,N/A,True,3.7/10,,,,,,
Transsiberian,2008,R,05 Sep 2008,111 min,"Crime, Drama, Mystery",Brad Anderson,"Brad Anderson, Will Conroy","Woody Harrelson, Emily Mortimer, Ben Kingsley",A Transsiberian train journey from China to Moscow becomes a thrilling chase of deception and murder when an American couple encounters a mysterious pair of fellow travelers.,"English, Russian, Spanish, Mandarin, French","United Kingdom, Germany, Spain, Lithuania",2 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BNDJjZmM1YTctZjM5NS00YjJjLTkxNzItYzU5OTQyOTY1NjkzXkEyXkFqcGc@._V1_SX300.jpg,72,6.6,"55,239",tt0800241,movie,N/A,"$2,206,405",N/A,N/A,True,6.6/10,91%,72/100,,,,
The Dark Knight,2011,Not Rated,11 Jul 2011,81 min,"Action, Fantasy",Drew Maxwell,Drew Maxwell,"Kyle Walsh, Aaron Farb, Debra Lopez, Bruce Spielbauer","A group of desperate soldiers hatch a plan to steal a Warlord's treasure and start a new life. Faced with the threat of a horrific death at the hands of the Warlord's executioners, the men ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzIxNzU4NjkwMV5BMl5BanBnXkFtZTgwNDU4NjM4MDE@._V1_SX300.jpg,N/A,2.1,201,tt2258647,movie,10 Jul 2012,N/A,Lightning Rod Studios,N/A,True,2.1/10,,,,,,
The Dark Knight,2008,PG-13,18 Jul 2008,152 min,"Action, Crime, Drama",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Heath Ledger, Aaron Eckhart","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","English, Mandarin","United States, United Kingdom",Won 2 Oscars. 163 wins & 165 nominations total,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,85,9.1,"3,087,450",tt0468569,movie,N/A,"$534,987,076",N/A,N/A,True,9.1/10,94%,85/100,,,,
Mamma Mia!,2008,PG-13,18 Jul 2008,108 min,"Comedy, Musical, Romance",Phyllida Lloyd,"Catherine Johnson, Melvin Frank, Sheldon Keller","Meryl Streep, Pierce Brosnan, Amanda Seyfried","Donna, an independent hotelier, is preparing for her daughter's wedding with the help of two old friends. Meanwhile Sophie, the spirited bride, has a plan. She invites three men from her mother's past in hope of meeting her real f...","English, Greek","United Kingdom, Germany, United States",Nominated for 3 BAFTA 16 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_SX300.jpg,51,6.5,"296,378",tt0795421,movie,N/A,"$144,330,569",N/A,N/A,True,6.5/10,55%,51/100,,,,
Meet Dave,2008,PG,11 Jul 2008,90 min,"Adventure, Comedy, Family",Brian Robbins,"Rob Greenberg, Bill Corbett","Eddie Murphy, Elizabeth Banks, Gabrielle Union","A crew of miniature aliens operate a spaceship that has a human form. While trying to save their planet, the aliens encounter a new problem, as their ship becomes smitten with an Earth woman.",English,United States,2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOTMyMDVkMDEtNzc1Yy00ZDA0LWJkNDMtZmFmN2I5MGIzMzhhXkEyXkFqcGc@._V1_SX300.jpg,43,5.1,"45,236",tt0765476,movie,N/A,"$11,803,254",N/A,N/A,True,5.1/10,20%,43/100,,,,
Kabluey,2007,PG-13,25 Jun 2007,86 min,Comedy,Scott Prendergast,Scott Prendergast,"Scott Prendergast, Lisa Kudrow, Teri Garr",A loser moves in with his brother's (in Iraq) wife to look after her two evil sons. She gets him a job wearing a Kabluey costume.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTMwMzMwOTA3NF5BMl5BanBnXkFtZTcwNDE2NjU3MQ@@._V1_SX300.jpg,62,6.5,"4,598",tt0816545,movie,N/A,"$83,506",N/A,N/A,True,6.5/10,83%,62/100,,,,
The Wackness,2008,R,01 Aug 2008,99 min,"Comedy, Drama, Romance",Jonathan Levine,Jonathan Levine,"Josh Peck, Ben Kingsley, Olivia Thirlby","It's the summer of 1994, and the streets of New York are pulsing with hip-hop. Set against this backdrop, a lonely teenager named Luke Shapiro spends his last summer before university selling marijuana throughout New York City, tr...",English,"United Kingdom, United States",4 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BOTkwNDkzMDI1Ml5BMl5BanBnXkFtZTcwMTc1OTA3MQ@@._V1_SX300.jpg,61,6.9,"31,415",tt1082886,movie,N/A,"$2,077,116",N/A,N/A,True,6.9/10,70%,61/100,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Hancock,2008,R,02 Jul 2008,92 min,"Action, Comedy, Drama",Peter Berg,"Vy Vincent Ngo, Vince Gilligan","Will Smith, Charlize Theron, Jason Bateman",Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"English, Japanese, Vietnamese",United States,4 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTgyMzc4ODU3NV5BMl5BanBnXkFtZTcwNjk5Mzc1MQ@@._V1_SX300.jpg,49,6.4,"532,305",tt0448157,movie,N/A,"$227,946,274",N/A,N/A,True,6.4/10,42%,49/100,,,,
Wanted,2011,Not Rated,26 Jan 2011,160 min,"Action, Drama",B.V.S. Ravi,"Sai Krishna Biyyapu, B.V.S. Ravi","Gopichand, Deeksha Seth, Chandramohan","Ram Babu (Gopichand) is the only son of cute couple Ram Babu and Janaki (Chandramohan and Jayasudha), who have earned so much for their son to lead a happy life without doing any work. In simple, Ram Babu is a vagabond with no wor...",Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BMDllZjljZTgtNDA4Yy00MTQ1LWEwMmUtMWI1ZTQzMzk1YmRkXkEyXkFqcGc@._V1_SX300.jpg,N/A,4.0,158,tt1831825,movie,N/A,N/A,N/A,N/A,True,4.0/10,,,,,,
Wanted,1998,R,14 Dec 1999,92 min,"Drama, Thriller",Terence M. O'Keefe,"Terence M. O'Keefe, Mark Evan Schwartz","Tracey Gold, Michael Sutton, Robert Culp","Caught in the middle of a sting operation orchestrated by the FBI, Jimmy Scrico goes on the run for his life when he is tricked into believing that he has killed a Mafia bass. But who is actually chasing Jimmy...the cops, or the Mob?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDNlMDhkY2UtNTc0Zi00ZmEyLTllMGEtYWY4YTZlYjdlOGYzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,N/A,3.9,187,tt0153644,movie,N/A,N/A,N/A,N/A,True,3.9/10,,,,,,
Wanted,2012,N/A,N/A,9 min,"Animation, Short",Boris Dolenc,"Boris Dolenc, Sandra Rzen","Medea Novak, Natasa Tic Ralijan",N/A,Slovenian,Slovenia,N/A,N/A,N/A,N/A,N/A,tt32495736,movie,N/A,N/A,N/A,N/A,True,,,,,,,
Wanted,1967,N/A,22 Mar 1967,107 min,"Action, Drama, Romance",Giorgio Ferroni,"Augusto Finocchi, Massimiliano Capriccioli, Fernando Di Leo","Giuliano Gemma, Germán Cobos, Teresa Gimpera",A local sheriff is unjustly accused of murder in a small town and forced to flee. He gets rid of his enemies one by one and tries to prove his innocence.,Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BMDgwM2NkYWEtZTc4NC00MDQ1LTk1ODktYTY4NjFkZGVlY2VjXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,N/A,6.0,457,tt0062047,movie,N/A,N/A,N/A,N/A,True,6.0/10,,,,,,
Wanted,2008,R,27 Jun 2008,110 min,"Action, Crime, Thriller",Timur Bekmambetov,"Michael Brandt, Derek Haas, Chris Morgan","Angelina Jolie, James McAvoy, Morgan Freeman","A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities.",English,"United States, Germany, Russia",Nominated for 2 Oscars. 4 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwNDM2MTMwMl5BMl5BanBnXkFtZTgwMjE4NjQxMTE@._V1_SX300.jpg,64,6.7,"423,643",tt0493464,movie,N/A,"$134,508,551",N/A,N/A,True,6.7/10,71%,64/100,,,,
Elsa & Fred,2014,PG-13,07 Nov 2014,93 min,"Comedy, Drama, Romance",Michael Radford,"Marcos Carnevale, Marcela Guerty, Lily Ann Martin","Shirley MacLaine, Christopher Plummer, Marcia Gay Harden",A withdrawn senior experiences life in new ways when he begins spending time with the free-spirited woman who lives across the hall.,English,"Mexico, Canada, Puerto Rico, United States",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjM4MzIyNzQ1N15BMl5BanBnXkFtZTgwMjQyNzY3MjE@._V1_SX300.jpg,49,6.5,"3,873",tt2113659,movie,N/A,"$285,863",N/A,N/A,True,6.5/10,33%,49/100,,,,
Wanted,1997,N/A,11 Sep 1997,87 min,"Action, Comedy",Heung-sun Jeong,"Suk-won Choi, Anthony Egan, Heung-sun Jeong","Steve Bastoni, Alan Cinis, Jason Clarke","Jay, a Korean studying acting down-under, is the identical double of a wanted criminal named Sunny Chow. He becomes mixed up with police and gangsters after playing Sunny on a Australian ""reality"" TV crime show.",English,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BZDA5ZGQzYjItNTY0MS00Mzk1LTk4NTAtNWIxNmI5OTNmYzg2L2ltYWdlXkEyXkFqcGdeQXVyNDk2NDA4MTQ@._V1_SX300.jpg,N/A,3.5,124,tt0120477,movie,N/A,N/A,N/A,N/A,True,3.5/10,,,,,,
Wanted,2007,N/A,N/A,22 min,"Animation, Short",Woon-ki Kim,Woon-ki Kim,N/A,"When a mysterious old woman with a black veil appears in a peaceful village, it suddenly rains heavily. The same phenomenon repeats the next day, and the villagers learn that the old woman is wanted and they become more and more f...",Korean,South Korea,N/A,https://m.media-amazon.com/images/M/MV5BZmZlODRmOGEtNTNmYS00NmVmLWE4ZjUtOWNkMDdjODZkYWIyXkEyXkFqcGdeQXVyMTI2NTM4NjM1._V1_SX300.jpg,N/A,N/A,N/A,tt23131396,movie,N/A,N/A,N/A,N/A,True,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,False,,,,Incorrect IMDb ID.,,,
Wanted,2002,N/A,N/A,105 min,Documentary,Kim Hopkins,N/A,N/A,"This is the mysterious world of the tribal cop, where DNA and dreams are accorded equal value in the hunt for a killer, where mere facts are not enough.",English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZWYwYjk4NzYtOWNiYS00YjQyLWExZTctYThlNjA1ODIyNWM4XkEyXkFqcGdeQXVyMzY2NjE3MTY@._V1_SX300.jpg,N/A,N/A,N/A,tt0800260,movie,N/A,N/A,N/A,N/A,True,,,,,,,
